PMID,IndexingMethod_x,MESH_x,IndexingMethod_y,DateRevised,MESH_y,MeshMatch,IndexingMatch
21093292,Automated,"['Anesthesia, General--adverse effects', 'Aortic Valve Stenosis--surgery', 'Cardiac Catheterization--adverse effects', 'Female', 'Heart Valve Prosthesis Implantation--adverse effects', 'Humans', 'Male', 'Perioperative Care--methods', 'Postoperative Complications--etiology']",Curated,20260324,"['Female', 'Humans', 'Male', 'Anesthesia, General--adverse effects', 'Aortic Valve Stenosis--surgery', 'Cardiac Catheterization--adverse effects', 'Heart Valve Prosthesis Implantation--adverse effects', 'Perioperative Care--methods', 'Postoperative Complications--etiology']",False,False
21221057,Automated,"['Humans', 'Low Back Pain--rehabilitation--therapy', 'Neurosurgical Procedures--standards', 'Patient Care Team--standards']",Curated,20260217,"['Humans', 'Low Back Pain--rehabilitation--therapy', 'Neurosurgical Procedures--standards', 'Patient Care Team--standards', 'Practice Guidelines as Topic']",False,False
21254858,Automated,"['Adipokines--physiology', 'Animals', 'Dietary Fats--pharmacology', 'Disease Models, Animal', 'Endoplasmic Reticulum--metabolism', 'Ethanol--administration & dosage', 'Fatty Liver--metabolism--pathology--physiopathology', 'Forkhead Box Protein O1', 'Forkhead Transcription Factors--physiology', 'Humans', 'Mitochondria, Liver--metabolism', 'Protein Denaturation', 'Receptors, Adiponectin--physiology', 'Signal Transduction--physiology', 'Sirtuin 1--physiology']",Curated,20260324,"['Animals', 'Humans', 'Adipokines--physiology', 'Dietary Fats--pharmacology', 'Disease Models, Animal', 'Endoplasmic Reticulum--metabolism', 'Ethanol--administration & dosage', 'Fatty Liver--metabolism--pathology--physiopathology', 'Forkhead Box Protein O1', 'Forkhead Transcription Factors--physiology', 'Mitochondria, Liver--metabolism', 'Protein Denaturation', 'Receptors, Adiponectin--physiology', 'Signal Transduction--physiology', 'Sirtuin 1--physiology']",False,False
21301896,Automated,"['Carotid Stenosis--drug therapy--surgery', 'Clinical Protocols--standards', 'Humans', 'Stroke--prevention & control']",Curated,20260324,"['Humans', 'Carotid Stenosis--drug therapy--surgery', 'Clinical Protocols--standards', 'Stroke--prevention & control']",False,False
21329976,Automated,"['Cytarabine--pharmacology', 'Dexamethasone--pharmacology', 'Humans', 'Methotrexate--pharmacology']",Curated,20260520,"['Humans', 'Cytarabine--pharmacology', 'Dexamethasone--pharmacology', 'Methotrexate--pharmacology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma--drug therapy--pathology']",False,False
21536087,Automated,"['Animals', 'Computer Systems', 'Ear Auricle--blood supply--chemistry', 'Female', 'Genetic Vectors--analysis', 'Micelles', 'Polyethylene Glycols--analysis']",Curated,20260323,"['Animals', 'Female', 'Computer Systems', 'Ear Auricle--blood supply--chemistry', 'Genetic Vectors--analysis', 'Micelles', 'Polyethylene Glycols--analysis']",False,False
21836661,Automated,"['Female', 'Hepatitis B, Chronic--diagnosis--drug therapy', 'Humans', 'Pregnancy']",Curated,20260226,"['Female', 'Humans', 'Pregnancy', 'Hepatitis B, Chronic--diagnosis--drug therapy', 'Practice Guidelines as Topic']",False,False
22098999,Automated,"['Air Ambulances', 'Female', 'Humans', 'Male', 'Myocardial Infarction--therapy', 'Myocardial Reperfusion', 'Patient Transfer']",Curated,20260220,"['Female', 'Humans', 'Male', 'Air Ambulances', 'Myocardial Infarction--therapy', 'Myocardial Reperfusion', 'Patient Transfer', 'Practice Guidelines as Topic']",False,False
22146871,Automated,"['Colorectal Neoplasms--surgery', 'Esophageal Neoplasms--surgery', 'Evidence-Based Medicine', 'Humans', 'Lymph Node Excision--methods', 'Lymphatic Metastasis--pathology', 'Stomach Neoplasms--surgery']",Curated,20260210,"['Humans', 'Colorectal Neoplasms--surgery', 'Esophageal Neoplasms--surgery', 'Evidence-Based Medicine', 'Lymph Node Excision--methods', 'Lymphatic Metastasis--pathology', 'Stomach Neoplasms--surgery']",False,False
22160849,Automated,"['Amyotrophic Lateral Sclerosis--enzymology', 'Animals', 'Genetic Diseases, Inborn--enzymology', 'Humans', 'Mitochondria--enzymology', 'Protein Folding', 'Superoxide Dismutase--metabolism', 'Superoxide Dismutase-1']",Curated,20260323,"['Animals', 'Humans', 'Amyotrophic Lateral Sclerosis--enzymology', 'Genetic Diseases, Inborn--enzymology', 'Mitochondria--enzymology', 'Protein Folding', 'Superoxide Dismutase--metabolism', 'Superoxide Dismutase-1']",False,False
22298820,Automated,"['Fusion Proteins, bcr-abl--antagonists & inhibitors', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive', 'Pyrimidines--pharmacology']",Curated,20260520,"['Humans', 'Fusion Proteins, bcr-abl--antagonists & inhibitors', 'Pyrimidines--pharmacology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma--drug therapy--genetics']",False,False
22802595,Automated,"['Evoked Potentials, Motor--physiology', 'Evoked Potentials, Somatosensory--physiology', 'Humans', 'Monitoring, Intraoperative--methods', 'Spinal Cord--physiology', 'Spine--surgery']",Curated,20260217,"['Humans', 'Evoked Potentials, Motor--physiology', 'Evoked Potentials, Somatosensory--physiology', 'Monitoring, Intraoperative--methods', 'Spinal Cord--physiology', 'Spine--surgery', 'Practice Guidelines as Topic']",False,False
22851800,Automated,"['Evidence-Based Medicine', 'Humans', 'Nocturnal Myoclonus Syndrome--therapy', 'Restless Legs Syndrome--therapy', 'Sleep Medicine Specialty']",Curated,20260217,"['Humans', 'Evidence-Based Medicine', 'Nocturnal Myoclonus Syndrome--therapy', 'Restless Legs Syndrome--therapy', 'Sleep Medicine Specialty', 'Practice Guidelines as Topic']",False,False
22929752,Automated,"['Analgesics--therapeutic use', 'Female', 'Frail Elderly', 'Geriatrics--standards', 'Humans', 'Male', 'Pain--diagnosis--drug therapy', ""Practice Patterns, Physicians'""]",Curated,20260225,"['Female', 'Humans', 'Male', 'Analgesics--therapeutic use', 'Frail Elderly', 'Geriatrics--standards', 'Pain--diagnosis--drug therapy', ""Practice Patterns, Physicians'""]",False,False
